1901			964
1902			882
1903			1072
1904			1831
1905			1509
1906			826
1907	537		1136
1908	510		1115
1909	584		930
1910	457		1147
1911	686		1181
1912	761		1196
1913	662		1244
1914	949		1798
1915	673		1636
1916	393		1052
1917	427		762
1918	548		1575
1919	855		1070
1920	550		1654
1921	562		1127
1922	918		1314
1923	649		1484
1924	783		792
1925	749		1346
1926	712		964
1927	864		1022
1928	905		1424
1929	495		993
1930	905		1153
1931	976		1265
1932	689		1263
1933	541		722
1934	1028		1139
1935	617		1118
1936	653		964
1937	360		817
1938	546		1220
1939	893		1542
1940	954		1543
1941	595		1485
1942	733		1256
1943	829		811
1944	640		659
1945	671		974
1946	603		1947
1947	758		1050
1948	513		1431
1949	568		1369
1950	619		1381
1951	613		1105
1952	769		1185
1953	756		1756
1954	515		1361
1955	877		1206
1956	807		1692
1957	752		1256
1958	738		1510
1959	786	741.5	1636
1960	699	516.3	1408
1961	871	606	1682
1962	514	513.5	1177
1963	703	892.3	1314
1964	926	893.12	1312
1965	561	429.5	1790
1966	792	770.31	1624
1967	696	569.4	1065
1968	665	785.58	1121
1969	719	896.16	1078
1970	580	627	1136
1971	541	675.7	1080
1972	591	1018.5	1630
1973	882	998.3	1683
1974	698	979.4	960
1975	684	1000.4	1422
1976	894	1074.9	1073
1977	1191	862.5	1108
1978	1141	872	1020
1979	1068	851.7	1244
1980	745	695.04	1141
1981	594	1053.86	1564
1982	929	865.8	1746
1983	973	931.8	1692
1984	810	1040.2	1890
1985	784	1096.4	1425
1986	746	1009.7	2164
1987	573	965.4	1630
1988	770	794.84	913
1989	912	759.1	1456
1990		863.8	1978
1991		959.6	1487.4
1992		1201.4	1919.4
1993		709.9	1385.7
1994		695.5	1666.4
1995		573.8	1314.9
1996		1119.7	2025.5
1997		1024.9	1488.6
1998		750.8	2021.5
1999		1215.9	1018.2
2000		794.5	
