sst30	abril	mayo	junio
1979	21.509	19.490	17.586
1980	23.181	21.789	19.488
1981	22.301	21.094	18.747
1982	22.600	20.690	19.531
1983	22.133	20.430	18.338
1984	22.037	20.795	19.340
1985	22.375	20.296	18.431
1986	22.958	21.122	19.449
1987	23.180	20.278	18.018
1988	22.032	19.675	17.572
1989	22.491	20.484	18.972
1990	22.770	20.508	18.949
1991	22.458	21.242	20.036
1992	22.876	21.034	20.202
1993	22.971	21.203	19.467
1994	22.249	21.327	19.568
1995	21.773	20.319	19.368
1996	22.871	20.787	19.481
1997	22.444	20.844	18.909
1998	22.038	20.730	19.114
1999	22.230	20.087	18.303
2000	22.614	20.801	19.411
2001	23.508	20.480	19.561
2002	23.323	21.578	20.499
2003	22.663	20.735	19.625
