ANIO	NINIO	87007	87016	87047	87078	87097	87121	87129	87148	87162	87166	87178	87217	87222	87244	87257	87270	87289	87311	87320	87328	87344	87349	87371	87374	87393	87395	87418	87436	87448	87453	87467	87480	87497	87506	87509	87532	87534	87544	87548	87550	87563	87585	87593	87596	87623	87640	87641	87645	87679	87688	87692	87715	87750	87765	87774	87784	87803	87828	87860	87904	87909	87925	87144	1801	87791	87880	87934
1988	-0.35	205.7	327.7	166.7	190.4	498.2	263.6	40.2	315.3	258.7	287.7	299.7	60.2	84.4	154.0	135.6	266.0	280.2	1.5	107.0	141.8	174.5	120.5	194.4	180.7	150.3	195.1	32.4	76.5	88.9	195.5	246.9	284.7	263.6	23.1	40.4	200.5	355.0	352.4	338.2	419.3	295.0	493.2	368.0	418.8	177.6	326.0	250.1	205.0	187.6	148.9	239.0	42.2	188.8	92.5	29.7	89.7	68.9	23.7	28.4	21.3	56.6	64.2	180.4	130.5	102.0	35.2	88.1
1989	-1.00	68.5	327.5	313.1	384.6	256.7	183.4	115.0	552.3	412.7	519.1	401.6	64.0	89.1	199.3	331.6	443.3	367.6	1.6	80.9	153.0	174.3	201.0	255.9	251.1	331.9	331.3	29.0	267.2	199.2	243.8	237.2	271.6	162.7	30.7	22.9	338.3	256.1	224.3	346.3	181.7	187.6	386.8	245.1	232.2	219.5	281.4	256.6	119.9	300.0	165.9	150.1	10.7	113.2	34.5	35.0	52.0	56.0	16.5	89.1	71.0	72.0	45.6	430.9	58.7	76.4	52.7	62.9
1990	0.33	33.9	343.5	129.6	199.4	732.2	255.3	167.3	534.6	489.7	771.4	653.8	75.7	52.8	277.4	249.6	508.4	640.5	33.1	134.0	153.3	173.2	158.0	302.3	319.3	634.1	651.0	62.7	175.7	219.6	331.0	238.4	274.3	398.9	40.2	47.4	358.8	462.4	249.4	502.6	254.0	301.1	468.2	313.2	454.0	169.0	281.4	313.8	282.7	207.6	227.2	411.2	29.2	122.8	302.0	48.2	98.9	187.7	76.2	62.9	44.6	101.5	126.1	313.4	72.4	200.1	40.1	119.6
1991	0.32	88.4	320.7	180.0	564.9	296.2	384.9	237.0	586.7	483.8	390.4	428.5	140.4	105.3	170.3	358.6	227.3	499.3	3.6	88.8	204.4	235.8	176.9	247.4	230.7	649.4	440.0	5.7	182.9	242.7	149.3	390.8	415.9	280.3	44.4	47.9	119.2	251.3	134.8	318.3	231.0	128.0	249.0	175.9	133.2	92.8	180.1	144.7	154.8	166.7	161.3	123.4	77.4	204.5	240.5	44.1	48.4	114.6	42.4	25.0	50.9	77.0	77.0	580.0	269.7	68.9	10.3	43.8
1992	1.47	31.7	171.2	96.9	397.8	658.2	189.3	136.7	299.3	479.0	564.6	551.6	197.4	201.0	369.3	341.9	442.8	943.0	23.0	95.6	177.3	275.4	283.0	235.7	390.9	818.4	575.7	48.2	196.7	143.0	189.1	179.2	201.7	220.0	60.3	64.9	318.8	225.8	261.3	207.4	375.7	291.1	415.5	355.2	228.9	222.3	340.4	264.2	287.5	314.9	281.7	250.3	53.0	165.7	250.4	82.1	122.9	143.7	156.9	222.9	63.6	59.7	59.7	209.8	280.2	130.5	40.9	94.2
1993	0.85	50.3	377.2	102.5	184.3	447.0	173.6	117.8	344.7	198.1	364.8	276.0	92.1	81.5	100.1	218.2	410.7	630.8	12.5	45.7	85.2	210.3	263.9	248.9	218.8	566.9	528.9	64.6	95.8	268.6	196.6	281.4	370.5	446.3	89.5	107.9	172.6	226.6	234.1	597.8	452.4	543.9	408.6	298.1	393.0	249.3	518.2	456.3	496.7	336.6	388.1	357.2	32.7	224.4	399.4	80.9	72.0	140.1	105.2	68.9	87.6	34.7	34.7	305.0	198.8	147.7	17.8	44.3
1994	0.10	11.6	114.0	65.1	306.6	499.8	116.7	84.5	415.2	470.1	485.1	495.1	40.2	25.4	269.0	564.2	402.0	386.9	4.8	82.0	129.3	126.6	80.6	247.9	246.6	302.5	214.9	17.4	165.1	145.2	191.3	310.0	442.1	238.9	77.3	51.5	133.8	254.2	393.4	208.9	238.5	326.0	456.9	388.6	244.0	185.1	213.9	166.5	200.1	199.0	212.7	163.2	140.4	180.2	237.9	138.1	164.0	226.7	29.3	133.2	104.4	115.6	115.6	228.9	119.2	132.6	50.4	46.9
1995	0.32	86.8	123.9	161.4	357.1	329.0	230.8	90.3	244.0	547.2	415.6	349.0	69.8	47.8	50.0	184.1	268.0	347.4	2.6	108.7	103.6	68.8	98.1	351.4	328.8	410.2	296.3	26.6	55.8	164.6	110.9	155.9	257.9	372.1	35.7	31.6	291.9	285.5	541.6	445.0	449.5	488.4	339.7	365.8	247.0	126.6	333.0	314.0	146.6	300.0	228.1	279.5	11.0	151.8	151.2	26.4	82.9	101.2	83.1	86.8	54.1	36.3	36.3	273.9	40.4	174.8	40.4	36.5
1996	-0.34	45.4	249.0	132.1	446.9	375.7	156.7	231.2	420.0	439.8	581.9	288.7	84.5	69.7	170.3	246.4	397.4	538.0	12.0	116.3	117.8	289.6	173.0	245.1	262.7	413.4	370.3	44.1	147.5	174.4	134.5	234.8	391.0	235.4	130.3	87.0	291.6	345.2	270.5	235.0	386.1	202.6	196.5	180.0	161.0	143.8	432.0	275.0	309.0	155.8	227.1	179.6	37.0	150.5	222.1	33.2	54.5	160.7	4.3	7.7	65.8	111.0	111.0	182.7	55.0	113.9	28.3	82.0
1997	0.45	115.4	312.6	87.0	129.2	479.7	109.5	108.8	104.0	213.9	227.3	331.3	120.0	36.8	68.2	137.8	100.0	380.0	37.1	142.0	155.7	56.3	85.2	81.7	102.1	285.4	192.0	46.5	92.2	101.9	133.1	84.9	145.0	185.7	43.4	65.0	307.1	229.9	212.9	197.6	280.5	288.1	230.1	152.7	239.0	231.0	368.8	150.0	159.6	221.1	164.9	173.6	66.1	206.3	272.2	90.8	188.9	183.5	100.3	127.9	80.6	51.5	51.5	141.5	138.3	151.5	79.5	76.5
1998	1.11	30.7	149.8	131.7	411.8	805.1	232.4	73.1	484.7	507.8	731.2	775.0	131.0	94.7	208.1	261.9	854.8	937.3	9.3	126.3	186.5	171.2	246.0	305.1	416.5	694.7	757.8	95.5	211.1	227.5	320.3	176.7	282.6	228.5	110.9	148.5	174.3	407.7	327.2	260.7	335.0	337.8	297.3	337.1	373.7	158.1	364.7	344.0	256.9	112.1	259.6	462.3	45.8	110.4	128.5	163.6	72.4	185.8	282.9	167.9	72.3	102.5	102.5	181.3	48.2	68.7	93.6	21.5
1999	-0.79	126.7	332.3	219.0	269.9	388.7	274.8	161.5	249.7	509.7	429.4	495.2	155.3	164.6	276.7	341.4	210.2	286.1	14.2	142.0	227.3	415.2	299.6	454.0	493.3	261.3	246.1	83.1	210.5	255.7	394.0	249.8	412.2	225.9	85.1	109.3	468.5	580.9	573.9	217.8	324.8	197.4	255.1	216.0	214.7	335.4	514.8	264.4	262.8	216.9	228.6	231.8	195.2	189.9	104.2	96.0	105.7	44.9	91.6	28.5	22.4	36.2	36.2	324.5	344.7	122.6	4.2	43.0
2000	-0.88	66.4	440.8	211.7	511.0	421.5	242.0	165.5	336.1	264.3	348.7	324.7	241.5	118.4	268.5	374.5	396.5	637.2	49.5	236.9	206.3	357.0	251.5	645.7	643.0	602.2	594.1	152.8	292.7	302.7	296.5	339.9	553.5	678.7	106.1	105.1	274.9	283.9	327.0	560.5	555.1	325.6	613.1	454.2	358.9	294.3	318.4	281.4	261.8	172.6	179.8	275.5	99.5	146.2	121.8	46.3	142.5	47.0	66.3	74.7	85.7	133.3	133.3	272.9	230.0	173.7	28.6	107.2
2001	-0.29	5.1	289.4	217.2	259.9	412.5	335.8	161.8	210.3	402.9	220.4	436.4	131.8	124.7	305.3	267.2	349.4	498.6	14.3	169.0	182.2	430.7	264.5	239.9	230.9	548.1	435.3	165.6	291.1	257.1	388.5	373.4	418.4	242.3	282.4	142.4	453.2	355.1	380.5	461.0	425.3	372.7	462.8	311.4	114.0	389.1	417.3	313.9	217.0	317.8	321.1	201.2	69.9	290.8	348.3	98.5	114.2	132.5	52.8	55.0	14.4	58.0	65.9	247.6	212.8	209.7	26.7	64.9
2002	0.22	34.5	432.1	111.1	299.7	519.1	182.0	156.4	804.1	730.7	636.1	735.2	65.1	140.1	325.4	514.6	589.9	811.6	34.6	89.9	127.0	213.3	295.0	331.7	409.7	701.4	768.9	51.2	71.0	162.5	207.2	412.7	442.2	613.1	119.0	87.2	384.4	178.2	452.0	520.5	711.2	683.3	666.1	606.1	586.5	160.8	436.8	510.1	456.0	179.7	258.5	393.3	65.8	185.2	311.0	25.6	106.5	275.0	86.3	187.4	92.9	172.9	181.8	420.0	128.0	120.4	86.4	95.6
