"f" "G" "Cninf" "Cn" "Cnsup"
"1" 0 1224.39846883131 32742.8693995918 154749.229924427 369283.230417873
"2" 0.015015015015015 -1407.00467463782 28662.88145051 135466.405761521 323267.986258431
"3" 0.03003003003003 2401.73517301391 20880.4692907726 98685.1977990664 235495.767284031
"4" 0.045045045045045 -6763.75259803379 14401.8964116008 68066.1902885756 162428.612047233
"5" 0.0600600600600601 48075.0318172382 10067.6859979682 47581.860841003 113546.175895287
"6" 0.0750750750750751 251642.134966864 7283.16432335 34421.6646591617 82141.5623709637
"7" 0.0900900900900901 263210.60125459 5463.78358938982 25822.9140706385 61622.0780643979
"8" 0.105105105105105 58788.0160929432 4235.81184591924 20019.2784957613 47772.6696097945
"9" 0.12012012012012 -6696.46160709548 3378.28988858318 15966.4613488714 38101.2973578786
"10" 0.135135135135135 3482.57895960039 2760.39579194257 13046.1725231408 31132.5150780207
"11" 0.15015015015015 1934.44763477622 2302.71296238004 10883.0736034927 25970.6402360512
"12" 0.165165165165165 3985.33180776972 1955.50142485264 9242.08370130931 22054.691494611
"13" 0.18018018018018 1494.92670137493 1686.61542681374 7971.27567815847 19022.1200740019
"14" 0.195195195195195 984.252117650598 1474.6607316791 6969.53617113284 16631.6357958424
"15" 0.21021021021021 872.810919473737 1305.012913188 6167.74727018258 14718.3002942654
"16" 0.225225225225225 2489.0003427729 1167.43198054637 5517.51276816786 13166.6240917381
"17" 0.24024024024024 2528.60828070183 1054.59205923895 4984.20914367627 11893.9839284107
"18" 0.255255255255255 1273.14399571692 961.1504895674 4542.58593792931 10840.1237953078
"19" 0.27027027027027 407.624034473378 883.143665707564 4173.91037153834 9960.34103839527
"20" 0.285285285285285 1261.8513010551 817.585929243134 3864.07163658661 9220.9625677726
"21" 0.3003003003003 2600.69272574839 762.197698737986 3602.29598360565 8596.27862702042
"22" 0.315315315315315 2747.63554264172 715.217689225891 3380.25923401249 8066.42495213434
"23" 0.33033033033033 2300.60529555272 675.270974510807 3191.46321663451 7615.89474128021
"24" 0.345345345345345 1719.72895047821 641.274841321464 3030.79081595833 7232.47685164243
"25" 0.36036036036036 1953.83510744475 612.370673072291 2894.18404140908 6906.48756544598
"26" 0.375375375375375 2844.39732380581 587.874060322491 2778.4082395841 6630.20792177326
"27" 0.39039039039039 1668.63022859882 567.237876313097 2680.87758199083 6397.46727215318
"28" 0.405405405405405 1581.33512031694 550.024716948929 2599.52481099012 6203.3324509766
"29" 0.42042042042042 2579.42099422457 535.886209141793 2532.70344696323 6043.87440920911
"30" 0.435435435435435 2058.54783992085 524.547438407253 2479.11419007661 5915.99258447598
"31" 0.450450450450451 2053.37390066502 515.795260407123 2437.74967833658 5817.28307537227
"32" 0.465465465465466 1655.14370135765 509.469620997433 2407.85346443173 5745.94074653845
"33" 0.480480480480481 581.01620238449 505.457266707411 2388.89029022157 5700.68829368473
"34" 0.495495495495496 733.206037848686 503.687416515182 2380.52563069871 5680.72742866811
