"f" "G" "Cninf" "Cn" "Cnsup"
"1" 0 1000.88033424061 32735.8598375059 154716.101357665 369204.174617988
"2" 0.015015015015015 263.75218137258 28656.7453283322 135437.405243266 323198.781357895
"3" 0.03003003003003 79.7681684173579 20875.9992199278 98664.0713665448 235445.352575974
"4" 0.045045045045045 10639.6931150994 14398.8132674261 68051.6187438232 162393.839485709
"5" 0.0600600600600601 83181.1933014088 10065.530717403 47571.6745618575 113521.868038824
"6" 0.0750750750750751 202749.761052317 7281.60515051505 34414.2957021963 82123.9775840519
"7" 0.0900900900900901 208471.602016186 5462.61390783789 25817.3859259543 61608.8860690115
"8" 0.105105105105105 91268.5784243469 4234.90504738073 20014.9927878162 47762.4424824907
"9" 0.12012012012012 13467.5353342381 3377.56666752307 15963.0432641351 38093.1406686733
"10" 0.135135135135135 1598.93601111272 2759.80484905821 13043.3796110363 31125.8502590439
"11" 0.15015015015015 2652.52826760853 2302.21999979698 10880.7437655308 25965.0804662912
"12" 0.165165165165165 3368.24855903587 1955.08279298262 9240.1051648922 22049.9700474027
"13" 0.18018018018018 2214.87658550963 1686.25435780036 7969.56919510446 19018.0478367756
"14" 0.195195195195195 1122.27293270839 1474.34503772363 6968.04413951199 16628.0753111983
"15" 0.21021021021021 1300.33893630542 1304.73353727485 6166.42688476086 14715.1494146509
"16" 0.225225225225225 2147.22459045199 1167.18205782736 5516.33158432486 13163.8053934772
"17" 0.24024024024024 2241.49568428815 1054.36629318209 4983.14212896184 11891.4376757357
"18" 0.255255255255255 1376.34392756716 960.944727392182 4541.61346548733 10837.8031519996
"19" 0.27027027027027 848.692840557599 882.954603158402 4173.01682480811 9958.20873813614
"20" 0.285285285285285 1400.44635379965 817.410901231335 3863.24441983567 9218.98855294751
"21" 0.3003003003003 2315.42148628848 762.034528185465 3601.52480753551 8594.4383439344
"22" 0.315315315315315 2582.69433004438 715.064576108761 3379.5355913568 8064.69809961499
"23" 0.33033033033033 2272.48708981649 675.12641314806 3190.7799912492 7614.26433783642
"24" 0.345345345345345 1928.94521243815 641.137557818313 3030.14198716649 7230.92852993281
"25" 0.36036036036036 2104.97100029636 612.239577345764 2893.56445726455 6905.00903121018
"26" 0.375375375375375 2351.49551878714 587.748208807334 2777.81344061221 6628.78853321867
"27" 0.39039039039039 1927.34537794534 567.116442572426 2680.30366228861 6396.0977084937
"28" 0.405405405405405 1845.76154504848 549.90696818491 2598.96830721111 6202.0044475135
"29" 0.42042042042042 2223.23224622221 535.771487135969 2532.16124823776 6042.58054237069
"30" 0.435435435435435 2160.36826111359 524.435143794595 2478.58346368788 5914.72609445598
"31" 0.450450450450451 1955.02974267866 515.684839452339 2437.22780722286 5816.03771698934
"32" 0.465465465465466 1502.36294601013 509.360554229469 2407.3379934708 5744.71066105286
"33" 0.480480480480481 876.830057171009 505.349058900407 2388.3788788788 5699.46789580087
"34" 0.495495495495496 684.809394853019 503.579587596009 2380.01601005423 5679.51130398709
