"f" "G" "Cninf" "Cn" "Cnsup"
"1" 0 -4087.84394108906 32607.438552005 154109.157146556 367755.803475392
"2" 0.015015015015015 4115.78197774207 28544.3262230573 134906.090477972 321930.887275372
"3" 0.03003003003003 -3846.87114307907 20794.1036268612 98277.0167133133 234521.71119331
"4" 0.045045045045045 1248.67557323226 14342.3273795139 67784.655346409 161756.775858002
"5" 0.0600600600600601 33178.3760339295 10026.0440993519 47385.0530516547 113076.526926711
"6" 0.0750750750750751 261524.816845431 7253.03974552551 34279.2899893291 81801.8089645582
"7" 0.0900900900900901 273701.720247753 5441.18432255369 25716.10549815 61367.1972181143
"8" 0.105105105105105 45202.4443259644 4218.29170797683 19936.4748837239 47575.0725984336
"9" 0.12012012012012 -1131.54964519357 3364.3166274917 15900.4209732693 37943.7030147452
"10" 0.135135135135135 -114.690676599565 2748.97826047288 12992.211027555 31003.7449677085
"11" 0.15015015015015 4502.18471463187 2293.18849571103 10838.0591038628 25863.2206395395
"12" 0.165165165165165 2159.27002639695 1947.41309233074 9203.85665364708 21963.4690203089
"13" 0.18018018018018 2942.55234465195 1679.63925884206 7938.30493853678 18943.4409022689
"14" 0.195195195195195 -243.251847380338 1468.56124936566 6940.70882007133 16562.844129935
"15" 0.21021021021021 1848.19055345085 1299.61512709944 6142.23627325962 14657.422554457
"16" 0.225225225225225 1627.59857209542 1162.60325583396 5494.69126704514 13112.1643851425
"17" 0.24024024024024 3402.09472494524 1050.23006228938 4963.59348960393 11844.7881079421
"18" 0.255255255255255 491.242637704627 957.17498504237 4523.79692294404 10795.2869444005
"19" 0.27027027027027 1066.68077839129 879.490812509879 4156.64627007948 9919.14313931621
"20" 0.285285285285285 588.123374969467 814.204235536907 3848.08908812721 9182.8228812082
"21" 0.3003003003003 3250.25871938876 759.045101477525 3587.39618993259 8560.72275418773
"22" 0.315315315315315 2217.64735203448 712.25941038115 3366.277827327 8033.06065669247
"23" 0.33033033033033 2758.46954628144 672.477923012703 3178.26270683203 7584.39392602313
"24" 0.345345345345345 1344.76030943083 638.622404412641 3018.2548783148 7202.56192701515
"25" 0.36036036036036 2180.64555668351 609.837789399838 2882.21313583521 6877.92099562521
"26" 0.375375375375375 2713.292563588 585.442499383462 2766.91620514335 6602.78409805262
"27" 0.39039039039039 1869.27166275719 564.891670626757 2669.78895323401 6371.00610882315
"28" 0.405405405405405 1224.14323522799 547.749708222571 2588.77267304586 6177.67426685579
"29" 0.42042042042042 3006.26886970512 533.669680021256 2522.2276951187 6018.87577442369
"30" 0.435435435435435 1683.62467826965 522.377808637913 2468.86009377464 5891.52289367843
"31" 0.450450450450451 2335.05242931912 513.661831340608 2427.66667366426 5793.22166621674
"32" 0.465465465465466 1498.21828846876 507.362356000302 2397.89411628868 5722.17442306843
"33" 0.480480480480481 667.196301517552 503.366597584505 2379.00937743875 5677.10914312161
"34" 0.495495495495496 619.72984768043 501.604067835353 2370.67931576726 5657.23084010756
